_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
4824,A1313863,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2023-08-29,PREGNANT,STRAY,OTC,,2023-09-02,RTF,,FERAL,EDWARDS AND MCGELLAN,SAN JOSE,2023-09-02
4825,A1313868,BLUEY,DOG,BRINDLE-BN,WHITE,BORDER COLLIE,NEUTERED,2021-03-30,3 YEARS,2023-08-29,HEALTHY,STRAY,OTC,,2023-09-30,ADOPTION,WALK IN,,BARBERRY LN/KYRA CIR,SAN JOSE,2023-09-30
4826,A1313868,BLUEY,DOG,BRINDLE-BN,WHITE,BORDER COLLIE,NEUTERED,2021-03-30,3 YEARS,2023-10-02,HEALTHY,RETURN,OTC,,2023-10-06,ADOPTION,WEBSITE,HEALTHY,,,2023-10-06
4827,A1313870,,OTHER,TRICOLOR,,GUINEA PIG,FEMALE,,NO AGE,2023-08-29,DEAD,DISPO REQ,OTC OWNED,,2023-08-29,DISPOSAL,,DEAD,,,2023-08-29
4828,A1313872,,OTHER,BLACK,WHITE,OPOSSUM,UNKNOWN,,NO AGE,2023-08-29,NURSING,WILDLIFE,OTC,,2023-08-29,TRANSFER,WILDLIFE,NURSING,SAN FERNANDO,SAN JOSE,2023-08-29
4829,A1313875,,CAT,WHITE,,DOMESTIC SH,FEMALE,2023-06-29,15 WEEKS,2023-08-29,MED SEV,STRAY,OTC,,2023-09-01,DIED,IN KENNEL,MED SEV,CARRYBACK AVE/ROUNDTABLE DR,SAN JOSE,2023-10-12
4830,A1313876,,CAT,ORANGE,,DOMESTIC SH,MALE,,NO AGE,2023-08-29,MED M,STRAY,MEDVET,,2023-09-02,RESCUE,SVNGGRACE,MED M,BONITA AVE/SUNNY CT 95116,SAN JOSE,2023-09-02
4831,A1313877,DIAMOND STASH,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2023-03-29,1 YEAR 7 MONTHS,2023-08-29,MED R,STRAY,MEDVET,,2023-09-06,FOSTER,,MED M,5200 BLOCK MCKEE RD SJ 95127,SAN JOSE,2023-09-06
4832,A1313877,DIAMOND STASH,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2023-03-29,1 YEAR 7 MONTHS,2023-10-26,MED R,FOSTER,,,2023-11-01,RESCUE,13 STREET,MED R,5200 BLOCK MCKEE RD SJ 95127,SAN JOSE,2023-11-05
4833,A1313878,,CAT,BUFF,,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-29,DEAD,DISPO REQ,OTC,,2023-10-02,DISPOSAL,,DEAD,MCKEE ROAD / WHITE ROAD,SAN JOSE,2023-10-02
4834,A1313882,,BIRD,BLACK,,VULTURE,UNKNOWN,,NO AGE,2023-08-29,MED EMERG,WILDLIFE,FIELD,,2023-08-29,TRANSFER,WILDLIFE,MED EMERG,SOMERSET PARK CIR / MORRILL,SAN JOSE,2023-08-29
4835,A1313885,AETHER,CAT,TABBY-BUFF,WHITE,DOMESTIC SH,NEUTERED,2023-07-29,1 YEAR 3 MONTHS,2023-08-29,HEALTHY,STRAY,OTC,,2023-10-21,ADOPTION,WALK IN,HEALTHY,200 BLOCK N 10TH ST X E JULIAN ST,SAN JOSE,2023-10-21
4836,A1313886,LUMINE,CAT,CALICO-DIL,WHITE,DOMESTIC SH,SPAYED,2023-07-29,1 YEAR 3 MONTHS,2023-08-29,MED SEV,STRAY,OTC,,2023-09-24,ADOPTION,WALK IN,HEALTHY,200 BLOCK N 10TH ST X E JULIAN ST,SAN JOSE,2023-10-12
4837,A1313887,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,FEMALE,2023-07-29,6 WEEKS,2023-08-29,MED SEV,STRAY,OTC,,2023-09-06,DIED,U PANLEUK,MED SEV,200 BLOCK N 10TH ST X E JULIAN ST,SAN JOSE,2023-09-06
4838,A1313896,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2022-09-08,2 YEARS,2023-08-29,MED R,STRAY,OTC,,2023-09-11,RTF,,FERAL,HUTCHINGS DR/UMBARGER RD,SAN JOSE,2023-09-12
4839,A1313903,SUGAR BEAR,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,2023-08-19,1 YEAR 2 MONTHS,2023-08-29,MED R,STRAY,OTC,,2023-08-31,FOSTER,,NURSING,BEEMAN DR/RYAN ST,SAN JOSE,2023-11-04
4840,A1313903,SUGAR BEAR,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,2023-08-19,1 YEAR 2 MONTHS,2023-11-14,HEALTHY,FOSTER,,,2023-11-14,ADOPTION,,HEALTHY,-,SAN JOSE,2023-11-14
4841,A1313907,HONEY BEAR,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2023-08-19,1 YEAR 2 MONTHS,2023-11-14,HEALTHY,FOSTER,,,2023-11-14,ADOPTION,,HEALTHY,,SAN JOSE,2023-11-14
4842,A1313907,HONEY BEAR,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2023-08-19,1 YEAR 2 MONTHS,2023-08-29,MED R,STRAY,OTC,,2023-08-31,FOSTER,,NURSING,BEEMAN DR/RYAN ST,SAN JOSE,2023-11-04
4843,A1313917,GARFIELD,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2023-08-10,1 YEAR 2 MONTHS,2023-08-29,NURSING,STRAY,OTC,,2023-08-31,FOSTER,,MED R,UNIVERSITY AVE,LOS GATOS,2023-10-17
4844,A1313917,GARFIELD,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2023-08-10,1 YEAR 2 MONTHS,2023-10-17,HEALTHY,FOSTER,,IP ADOPT,2023-10-17,ADOPTION,WALK IN,HEALTHY,,LOS GATOS,2023-10-17
4845,A1313918,SWEETIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2023-06-29,1 YEAR 4 MONTHS,2023-08-29,MED R,STRAY,OTC,,2023-10-10,ADOPTION,WALK IN,HEALTHY,GLADDING CT X S MILPITAS BLVD,MILPITAS,2023-10-10
4846,A1313922,BATMAN,DOG,BLACK,WHITE,FRENCH BULLDOG,NEUTERED,2022-10-31,2 YEARS,2023-08-29,MED M,CONFISCATE,POLICE,,2023-09-10,RTO,NOTICE,,,SAN JOSE,2023-09-10
4847,A1313922,BATMAN,DOG,BLACK,WHITE,FRENCH BULLDOG,NEUTERED,2022-10-31,2 YEARS,2023-10-31,HEALTHY,CONFISCATE,POLICE,,2023-11-16,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2023-11-16
4848,A1313922,BATMAN,DOG,BLACK,WHITE,FRENCH BULLDOG,NEUTERED,2022-10-31,2 YEARS,2023-10-28,HEALTHY,CONFISCATE,POLICE,,2023-10-29,RTO,,HEALTHY,,SAN JOSE,2023-10-29
4849,A1313923,CHATA,DOG,GRAY,WHITE,FRENCH BULLDOG,FEMALE,2022-10-31,2 YEARS,2023-11-02,HEALTHY,STRAY,OTC,,2023-12-28,LOST EXP,,HEALTHY,STONE AVE/CURTNER AVE,SAN JOSE,2023-12-28
4850,A1313923,CHATA,DOG,GRAY,WHITE,FRENCH BULLDOG,FEMALE,2022-10-31,2 YEARS,2023-08-29,MED M,CONFISCATE,POLICE,,2023-09-10,RTO,NOTICE,,,SAN JOSE,2023-09-10
4851,A1313924,SHIBA,DOG,BRINDLE-BN,,FRENCH BULLDOG,SPAYED,2021-08-29,3 YEARS,2023-08-29,HEALTHY,CONFISCATE,POLICE,,2023-09-10,RTO,NOTICE,,,SAN JOSE,2023-09-10
4852,A1313924,SHIBA,DOG,BRINDLE-BN,,FRENCH BULLDOG,SPAYED,2021-08-29,3 YEARS,2023-10-31,HEALTHY,CONFISCATE,POLICE,,2023-11-16,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2023-11-16
4853,A1313924,SHIBA,DOG,BRINDLE-BN,,FRENCH BULLDOG,SPAYED,2021-08-29,3 YEARS,2023-10-28,HEALTHY,CONFISCATE,POLICE,,2023-10-29,RTO,,HEALTHY,,SAN JOSE,2023-10-29
4854,A1313925,NIKO,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2023-05-14,1 YEAR 5 MONTHS,2023-08-29,MED SEV,STRAY,OTC,,2023-10-17,ADOPTION,WALK IN,HEALTHY,FLORENCE AVE,SAN JOSE,2023-10-17
4855,A1313936,PEMMICAN,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2023-07-29,1 YEAR 3 MONTHS,2023-08-29,MED R,STRAY,OTC,,2023-08-30,FOSTER,,HEALTHY,CAPITOL EXPRESS / ABORN SQUARE,SAN JOSE,2023-08-30
4856,A1313936,PEMMICAN,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2023-07-29,1 YEAR 3 MONTHS,2023-08-31,MED R,FOSTER,,,2023-09-03,FOSTER,,HEALTHY,CAPITOL EXPRESS / ABORN SQUARE,SAN JOSE,2023-09-03
4857,A1313936,PEMMICAN,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,2023-07-29,1 YEAR 3 MONTHS,2023-09-22,HEALTHY,FOSTER,,,2023-11-02,TRANSFER,HSSV,HEALTHY,,SAN JOSE,2023-11-02
4858,A1313940,WOJAPI,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,2023-07-29,1 YEAR 3 MONTHS,2023-09-22,HEALTHY,FOSTER,,,2023-11-02,TRANSFER,HSSV,HEALTHY,,SAN JOSE,2023-11-02
4859,A1313940,WOJAPI,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,2023-07-29,1 YEAR 3 MONTHS,2023-08-31,MED R,FOSTER,,,2023-09-03,FOSTER,,HEALTHY,CAPITOL EXPRESS / ABORN SQUARE,SAN JOSE,2023-09-03
4860,A1313940,WOJAPI,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,2023-07-29,1 YEAR 3 MONTHS,2023-08-29,MED R,STRAY,OTC,,2023-08-30,FOSTER,,HEALTHY,CAPITOL EXPRESS / ABORN SQUARE,SAN JOSE,2023-08-30
4861,A1313941,SUCCOTASH,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2023-07-29,1 YEAR 3 MONTHS,2023-08-29,MED R,STRAY,OTC,,2023-08-30,FOSTER,,HEALTHY,CAPITOL EXPRESS / ABORN SQUARE,SAN JOSE,2023-08-30
4862,A1313941,SUCCOTASH,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2023-07-29,1 YEAR 3 MONTHS,2023-08-31,MED R,FOSTER,,,2023-09-03,FOSTER,,HEALTHY,CAPITOL EXPRESS / ABORN SQUARE,SAN JOSE,2023-09-03
4863,A1313941,SUCCOTASH,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2023-07-29,1 YEAR 3 MONTHS,2023-09-22,HEALTHY,FOSTER,,,2023-11-02,TRANSFER,HSSV,HEALTHY,,SAN JOSE,2023-11-02
4864,A1313942,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2020-09-06,4 YEARS,2023-08-29,MED R,STRAY,OTC,,2023-09-08,RTF,,FERAL,3300 BLOCK AMERICAS DR,SAN JOSE,2023-09-08
4865,A1313944,LOUIS,DOG,CREAM,,POODLE MIN,NEUTERED,2015-08-29,9 YEARS,2023-08-29,MED SEV,STRAY,OTC,,2023-09-12,FOSTER,,HEALTHY,W VIRGINIA ST X PALM ST,SAN JOSE,2024-05-07
4866,A1313944,LOUIS,DOG,CREAM,,POODLE MIN,NEUTERED,2015-08-29,9 YEARS,2024-05-07,HEALTHY,FOSTER,,,2024-05-07,ADOPTION,,HEALTHY,,SAN JOSE,2024-05-07
4867,A1313945,THEODORE,DOG,CREAM,,WEST HIGHLAND,MALE,2021-08-30,3 YEARS,2023-08-29,MED SEV,STRAY,OTC,,2023-09-07,RESCUE,COMPANIONA,HEALTHY,W VIRGINIA ST X PALM ST,SAN JOSE,2023-09-07
4868,A1313946,,DOG,CREAM,,WEST HIGHLAND,MALE,2023-05-30,1 YEAR 5 MONTHS,2023-08-29,HEALTHY,STRAY,OTC,,2023-09-08,RESCUE,NC ARF,HEALTHY,W VIRGINIA ST X PALM ST,SAN JOSE,2023-09-08
4869,A1313952,PSL,CAT,BLACK,,DOMESTIC SH,NEUTERED,2023-05-29,1 YEAR 5 MONTHS,2023-08-29,MED R,STRAY,OTC,,2023-10-08,ADOPTION,WALK IN,HEALTHY,SENTER RD,SAN JOSE,2023-10-08
4870,A1313960,,CAT,TABBY-ORG,,DOMESTIC SH,MALE,2023-08-25,4 WEEKS,2023-08-29,NURSING,STRAY,OTC,,2023-09-17,DIED,IN FOSTER,MED R,700 BLOCK DEBOER LN X LO BUE WAY,SAN JOSE,2023-09-18
4871,A1313962,LUCAS,DOG,GRAY,WHITE,PIT BULL,MALE,,NO AGE,2023-11-15,BEH U,STRAY,OTC,,2023-11-17,RTO,,BEH U,COSTIGAN CIR X CLIFFORN LN,MILPITAS,2023-11-17
4872,A1313969,,OTHER,GREEN,,TURTLE,UNKNOWN,,NO AGE,2023-08-29,MED SEV,STRAY,OTC,,2023-09-01,TRANSFER,OTHER AGEN,HEALTHY,METCALF RD,SAN JOSE,2023-09-01
4873,A1313970,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2022-08-31,2 YEARS,2023-08-29,MED R,STRAY,OTC,,2023-09-01,RTF,,FERAL,2300 BLOCK MOORGLEN CT X BRUSHGLEN WAY,SAN JOSE,2023-09-01
4874,A1313970,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2022-08-31,2 YEARS,2023-09-15,MED EMERG,STRAY,FIELD,,2023-09-15,EUTH,U PANLEUK,MED SEV,2300 BLOCK OF BRUSHGLEN WY.,SAN JOSE,2024-08-26
4875,A1313976,ARANCINO,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2023-07-15,1 YEAR 3 MONTHS,2023-09-13,MED M,FOSTER,,,2023-10-18,ADOPTION,,MED M,MONTEREY / PHELAN,SAN JOSE,2023-10-18
4876,A1313982,UKWANDA,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2019-08-30,5 YEARS,2023-08-29,MED SEV,STRAY,OTC,,2023-09-19,RESCUE,COMPANIONA,,CHESTNUT ST,SAN JOSE,2023-09-19
4877,A1313985,HILDA,DOG,WHITE,,HAVANESE,FEMALE,2021-08-30,3 YEARS,2023-08-29,HEALTHY,CONFISCATE,POLICE,,2023-08-30,RTO,NOTICE,,,SAN JOSE,2023-08-30
4878,A1313987,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-29,DEAD,DISPO REQ,OTC,,2023-08-29,DISPOSAL,,DEAD,OAKLAND RD,SAN JOSE,2023-08-29
4879,A1313988,,CAT,GRAY,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-29,DEAD,DISPO REQ,OTC,,2023-08-29,DISPOSAL,,DEAD,GRAY GHOST AVE,SAN JOSE,2023-08-29
4880,A1313990,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-29,MED SEV,STRAY,FIELD,,2023-09-15,DIED,AT VET,MED SEV,800 BLK S BASCOM AVE/ FRUITDALE,SAN JOSE,2023-09-15
4881,A1314002,NENAZ,DOG,BLACK,BROWN,GERM SHEPHERD,SPAYED,2023-02-20,1 YEAR 8 MONTHS,2023-08-29,HEALTHY,STRAY,OTC,,2023-11-02,ADOPTION,,HEALTHY,WESTMONT AVE,CAMPBELL,2023-11-02
4882,A1314005,,CAT,TABBY-ORG,,DOMESTIC SH,FEMALE,,NO AGE,2023-08-29,BEH R,STRAY,OTC,,2023-08-29,FOSTER,,HEALTHY,TULLY RD,SAN JOSE,2023-08-29
4883,A1314005,,CAT,TABBY-ORG,,DOMESTIC SH,FEMALE,,NO AGE,2023-08-30,MED SEV,FOSTER,,,2023-08-30,EUTH,U PANLEUK,MED SEV,,SAN JOSE,2023-08-30
4884,A1314007,CYNTHIA,DOG,WHITE,,SHIH TZU,SPAYED,2023-04-30,1 YEAR 6 MONTHS,2023-08-29,HEALTHY,STRAY,OTC,,2023-09-05,ADOPTION,WALK IN,HEALTHY,TULLY AVE,,2024-09-26
4885,A1314008,JAIA,DOG,WHITE,TAN,SIBERIAN HUSKY,SPAYED,,NO AGE,2023-08-29,HEALTHY,CONFISCATE,HOSPITAL,,2023-09-12,RTO,,,,LOS GATOS,2023-09-12
4886,A1314009,BELLA,DOG,WHITE,,SIBERIAN HUSKY,SPAYED,,NO AGE,2023-08-29,HEALTHY,CONFISCATE,HOSPITAL,,2023-09-12,RTO,,,,LOS GATOS,2023-09-12
4887,A1314023,JONATHAN,CAT,BLACK,,DOMESTIC SH,NEUTERED,2011-08-30,12 YEARS,2023-08-30,MED EMERG,STRAY,FIELD,,2023-08-30,EUTH,U MED SEV,MED EMERG,GATEWOOD / KOOSER,SAN JOSE,2023-08-30
4888,A1314024,,CAT,CALICO-DIL,,DOMESTIC SH,FEMALE,,NO AGE,2023-08-30,NURSING,STRAY,OTC,,2023-09-07,RESCUE,ANDREASD,NURSING,1700 BLOCK ROGERS AVE X E BROKAW RD,SAN JOSE,2023-09-07
4889,A1314025,,CAT,CALICO-DIL,,DOMESTIC SH,FEMALE,,NO AGE,2023-08-30,NURSING,STRAY,OTC,,2023-09-07,RESCUE,ANDREASD,NURSING,1700 BLOCK ROGERS AVE X E BROKAW RD,SAN JOSE,2023-09-07
4890,A1314026,MUNA,DOG,BROWN,BLACK,BELG MALINOIS,SPAYED,2022-09-01,2 YEARS,2023-08-30,HEALTHY,STRAY,FIELD,,2023-09-03,FOSTER,,HEALTHY,1300 BLOCK S PARK VICTORIA,MILPITAS,2023-09-17
4891,A1314026,MUNA,DOG,BROWN,BLACK,BELG MALINOIS,SPAYED,2022-09-01,2 YEARS,2023-09-20,HEALTHY,FOSTER,,,2023-09-20,FOSTER,,HEALTHY,,MILPITAS,2023-10-13
4892,A1314030,,CAT,BLACK,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-30,NURSING,STRAY,OTC,,2023-09-11,DIED,U PANLEUK,MED SEV,HILLSDALE AVE/ COMMUNICATION HILLS AVE,SAN JOSE,2023-10-12
4893,A1314032,,CAT,TABBY-GRAY,,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-30,NURSING,STRAY,OTC,,2023-09-06,DIED,U PANLEUK,MED SEV,HILLSDALE AVE/ COMMUNICATION HILLS AVE,SAN JOSE,2023-09-07
4894,A1314033,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-30,MED SEV,STRAY,,,2023-09-12,EUTH,U PANLEUK,MED SEV,HILLSDALE AVE/ COMMUNICATION HILLS AVE,SAN JOSE,2023-10-12
4895,A1314034,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-30,NURSING,STRAY,OTC,,2023-09-11,FOSTER,,NURSING,HILLSDALE AVE/ COMMUNICATION HILLS AVE,SAN JOSE,2023-10-12
4896,A1314034,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2023-09-17,MED SEV,FOSTER,MEDVET,,2023-09-17,EUTH,U PANLEUK,MED SEV,,SAN JOSE,2023-10-12
4897,A1314035,BABY,DOG,BLACK,WHITE,PIT BULL,FEMALE,,NO AGE,2023-08-30,HEALTHY,STRAY,OTC,,2023-09-05,RTO,WALK IN,HEALTHY,400 BLOCK CENTURY OAKS WAY X CENTURY PARK WAY,SAN JOSE,2023-09-05
4898,A1314036,RICO,DOG,BROWN,,DOBERMAN PINSCH,NEUTERED,2023-03-16,1 YEAR 7 MONTHS,2023-08-30,HEALTHY,STRAY,OTC,,2023-09-30,ADOPTION,WALK IN,HEALTHY,HELLYER AVE X PALISADE DR,SAN JOSE,2023-09-30
4899,A1314036,RICO,DOG,BROWN,,DOBERMAN PINSCH,NEUTERED,2023-03-16,1 YEAR 7 MONTHS,2023-10-01,HEALTHY,RETURN,OTC,,2023-10-06,ADOPTION,,HEALTHY,,SAN JOSE,2023-10-06
4900,A1314037,,CAT,GRAY,,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-30,DEAD,DISPO REQ,FIELD,,2023-08-30,DISPOSAL,,DEAD,MERCURY / CARNAGIE,MILPITAS,2023-08-30
4901,A1314039,,DOG,WHITE,,MALTESE,MALE,2016-08-30,8 YEARS,2023-08-30,MED R,STRAY,OTC,,2023-09-04,TRANSFER,HSSV,MED R,HELLYER AVE/ PALISADE DR,SAN JOSE,2023-09-10
4902,A1314041,HARLU,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2020-09-07,3 YEARS,2023-08-26,MED R,STRAY,OTC,,2023-09-24,ADOPTION,WALK IN,HEALTHY,KINGSLAND CT/ CAMDEN AVE,SAN JOSE,2023-09-24
4903,A1314041,HARLU,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2020-09-07,3 YEARS,2023-12-06,MED SEV,OWNER SUR,OTC,,2023-12-09,EUTH,U MED SEV,MED SEV,,MILPITAS,2023-12-11
4904,A1314043,MIKI,DOG,GRAY,WHITE,ALASKAN HUSKY,MALE,2022-09-01,2 YEARS,2023-08-30,HEALTHY,STRAY,FIELD,,2023-10-11,FOSTER,,BEH R,500 BLK S MAIN,MILPITAS,2023-10-11
4905,A1314045,,DOG,BROWN,,CHIHUAHUA SH,MALE,2023-06-30,1 YEAR 4 MONTHS,2023-08-30,MED M,STRAY,OTC,,2023-09-01,FOSTER,,MED M,CONWAY ST/ COWLHO ST,MILPITAS,2023-09-01
4906,A1314045,,DOG,BROWN,,CHIHUAHUA SH,MALE,2023-06-30,1 YEAR 4 MONTHS,2023-09-07,MED M,FOSTER,,,2023-09-14,RESCUE,FREDSFRNDS,MED M,CONWAY ST/ COWLHO ST,MILPITAS,2023-09-14
4907,A1314046,NOVA,DOG,BRINDLE-TN,,PIT BULL,SPAYED,2019-09-29,5 YEARS,2023-08-30,AGGRESSIVE,STRAY,FIELD,,2024-03-17,FOSTER,,HEALTHY,STOKES ST/ LEIGH AVE,SAN JOSE,2024-03-17
4908,A1314046,NOVA,DOG,BRINDLE-TN,,PIT BULL,SPAYED,2019-09-29,5 YEARS,2024-03-24,AGGRESSIVE,FOSTER,,,2024-04-19,RESCUE,MIRANDAS,BEH U,STOKES ST/ LEIGH AVE,SAN JOSE,2024-04-19
4909,A1314047,,DOG,TAN,BLACK,FRENCH BULLDOG,FEMALE,,NO AGE,2023-08-30,DEAD,DISPO REQ,OTC,,2023-08-30,DISPOSAL,,DEAD,,,2023-08-30
4910,A1314050,,CAT,BLACK,WHITE,DOMESTIC MH,MALE,2023-07-30,10 WEEKS,2023-08-30,MED SEV,STRAY,OTC,,2023-08-31,DIED,IN KENNEL,MED SEV,ENSALMO AVE X BABERO AVE,SAN JOSE,2023-10-12
4911,A1314051,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,UNKNOWN,2023-07-30,4 WEEKS,2023-08-30,MED EMERG,STRAY,FIELD,,2023-08-31,EUTH,U NURS SIC,MED EMERG,700 BLK LEXINGTON,MILPITAS,2023-08-31
4912,A1314052,ACE,DOG,BRINDLE-BN,,CANE CORSO,MALE,2021-09-13,3 YEARS,2023-08-30,HEALTHY,STRAY,OTC,,2023-09-29,FOSTER,,HEALTHY,RIVER OAKS PRKWY/CRE VILLAGE CIR,SAN JOSE,2024-01-14
4913,A1314055,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,NO AGE,2023-08-30,DEAD,DISPO REQ,FIELD,,2023-08-30,DISPOSAL,,DEAD,JOHNSON,CUPERTINO,2023-08-30
4914,A1314056,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-30,DEAD,DISPO REQ,OTC,,2023-10-02,DISPOSAL,,DEAD,SENTER RD X STORY RD,SAN JOSE,2023-10-02
4915,A1314057,,OTHER,GRAY,RED,FOX,UNKNOWN,,NO AGE,2023-08-30,DEAD,DISPO REQ,FIELD,,2023-08-30,DISPOSAL,,DEAD,SARATOGA-LOS GATOS RD X FRUITVALE,SARATOGA,2023-08-30
4916,A1314058,CALI,CAT,CALICO-DIL,,DOMESTIC MH,SPAYED,2023-07-31,1 YEAR 3 MONTHS,2023-08-30,MED M,STRAY,OTC,,2023-10-05,ADOPTION,WALK IN,HEALTHY,MOONFLOWER CT X OLDFIELD WAY,SAN JOSE,2023-10-05
4917,A1314059,MOOKAITE,CAT,TABBY-BRN,,DOMESTIC MH,SPAYED,2023-07-28,1 YEAR 3 MONTHS,2023-08-30,MED M,STRAY,OTC,,2023-10-06,ADOPTION,WALK IN,HEALTHY,MOONFLOWER CT X OLDFIELD WAY,SAN JOSE,2023-10-06
4918,A1314060,LUCKY,DOG,WHITE,,MALTESE,NEUTERED,2020-09-19,4 YEARS,2023-08-30,HEALTHY,STRAY,OTC,,2023-09-11,FOSTER,,HEALTHY,SOUTH 1ST ST/ E SAN FERNANDO ST,SAN JOSE,2023-09-11
4919,A1314060,LUCKY,DOG,WHITE,,MALTESE,NEUTERED,2020-09-19,4 YEARS,2023-09-19,HEALTHY,FOSTER,,,2023-09-27,FOSTER,,HEALTHY,,SAN JOSE,2023-10-01
4920,A1314060,LUCKY,DOG,WHITE,,MALTESE,NEUTERED,2020-09-19,4 YEARS,2023-09-19,HEALTHY,FOSTER,,,2023-09-27,FOSTER,,HEALTHY,,SAN JOSE,2023-09-27
4921,A1314060,LUCKY,DOG,WHITE,,MALTESE,NEUTERED,2020-09-19,4 YEARS,2023-09-27,HEALTHY,FOSTER,,,2024-01-22,ADOPTION,,HEALTHY,,SAN JOSE,2024-01-22
4922,A1314063,,BIRD,BLACK,,CROW,UNKNOWN,,NO AGE,2023-08-30,MED SEV,STRAY,OTC,,2023-08-30,EUTH,U MED EMRG,MED SEV,AVALON DR X RICHLAND AVE,SAN JOSE,2023-08-30
4923,A1314065,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,NO AGE,2023-08-30,NURSING,WILDLIFE,FIELD,,2023-08-30,TRANSFER,WILDLIFE,NURSING,JOHNSON,CUPERTINO,2023-08-30
4924,A1314066,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,NO AGE,2023-08-30,NURSING,WILDLIFE,FIELD,,2023-08-30,TRANSFER,WILDLIFE,NURSING,JOHNSON,CUPERTINO,2023-08-30
4925,A1314067,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,NO AGE,2023-08-30,NURSING,WILDLIFE,FIELD,,2023-08-30,TRANSFER,WILDLIFE,NURSING,JOHNSON,CUPERTINO,2023-08-30
4926,A1314071,,CAT,TABBY-BRN,,DOMESTIC SH,UNKNOWN,,NO AGE,2023-08-30,NURSING,STRAY,OTC,,2023-08-30,DIED,IN KENNEL,NURSING,900 BLOCK GERARD WAY X DOMINICK WAY,SAN JOSE,2023-10-12
4927,A1314072,KITTY KITTY,DOG,BRINDLE-TN,,CANE CORSO,SPAYED,2021-08-30,3 YEARS,2023-08-30,MED R,STRAY,FIELD,,2023-11-24,FOSTER,,BEH U,ALTIA RD/ CORTONA ST,SAN JOSE,2023-11-24
4928,A1314072,KITTY KITTY,DOG,BRINDLE-TN,,CANE CORSO,SPAYED,2021-08-30,3 YEARS,2023-11-26,HEALTHY,FOSTER,,,2024-02-11,FOSTER,,HEALTHY,,SAN JOSE,2024-02-11
4929,A1314072,KITTY KITTY,DOG,BRINDLE-TN,,CANE CORSO,SPAYED,2021-08-30,3 YEARS,2024-03-01,HEALTHY,FOSTER,,,2024-03-01,ADOPTION,WALK IN,,,SAN JOSE,2024-03-01
